SampleID,PlantOrigin,SedOrigin,TankID,Dead,ShootLength_mm,ShootWidth_mm,LeafGrowth1_mm,LeafGrowth2_mm,LeafGrowth3_mm,LeafGrowth4_mm,LeafGrowth5_mm,DatePunched,DateMeasured,DaysGrowing,LongestRoot_mm,Rhiz_Length_mm,No_RootBundles,ShootCount,Term_FoilPre_g,Term_FoilPost_g,Side_FoilPre_g,Side_FoilPost_g,Rhiz_FoilPre_g,Rhiz_FoilPost_g,Root_FoilPre_g,Root_FoilPost_g,root.hair1.mm,root.hair2.mm,root.hair3.mm,root.area.mm2,proportion.root.area.mm,dimensions.of.image.mm,area.of.image.mm2,root.hair.surface.area.mm2,propotion.root.hair.area.mm,sulfide.um
4-2,BLAK,MILL,2,0,429,6,76,125,39,131,57,Sept 25th,Oct 3rd,8,NA,62,8,3,0.782,1.065,0.793,0.9092,0.779,0.8797,0.875,0.9762,0.396,0.31,0.305,0.279,0.28466483,0.99x0.99,0.9801,0.252,0.257116621,11.388
4-3,BLAK,MILL,3,0,672,7,122,172,141,174,NA,Sept 25th,Oct 3rd,8,157,71,15,4,0.791,1.4593,0.713,1.0417,1.288,1.4359,0.844,1.0013,0.311,0.236,0.338,0.226,0.226,1x1,1,0.154,0.154,5.8205
4-4,BLAK,MILL,4,0,410,6,146,151,37,NA,NA,Sept 25th,Oct 3rd,8,76,46,5,1,0.782,1.0716,0.814,0.8139,0.76,0.8496,0.849,0.8942,0.417,0.362,0.363,0.196,0.196,1x1,1,0.216,0.216,3.9865
4-5,BLAK,MILL,5,0,665,5,157,164,118,167,NA,Sept 25th,Oct 3rd,8,104,61,9,5,0.772,1.2088,0.823,1.199,0.764,0.886,0.846,0.9451,0.325,0.434,0.293,0.233,0.22840898,1.01x1.01,1.0201,0.219,0.214684835,7.5235
4-6,BLAK,MILL,6,1,NA,NA,NA,NA,NA,NA,NA,Sept 25th,Oct 3rd,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4-7,BLAK,MILL,7,0,570,5,145,157,8,NA,NA,Sept 25th,Oct 3rd,8,88,52,3,4,0.771,0.9992,0.791,1.0719,0.769,0.8524,0.833,0.9035,0.713,0.603,0.592,0.243,0.243,1x1,1,0.16,0.16,5.624
4-8,BLAK,MILL,8,0,625,7,120,135,160,125,NA,Sept 25th,Oct 3rd,8,113,58,9,3,0.753,1.3422,0.76,0.9672,0.788,0.9039,0.838,0.9356,0.243,0.268,0.218,0.191,0.191,1x1,1,0.159,0.159,6.8685
4-9,BLAK,MILL,9,0,391,6,80,118,73,126,NA,Sept 25th,Oct 4th,9,97,62,NA,2,0.828,1.0905,0.765,0.8051,0.757,0.8523,0.819,0.8766,0.482,0.36,0.27,0.205,0.205,1x1,1,0.141,0.141,5.1655
4-10,BLAK,MILL,10,0,569,6,177,175,125,NA,NA,Sept 25th,Oct 4th,9,120,78,10,3,0.837,1.1691,0.744,0.9083,0.804,0.9014,0.808,0.8825,0.303,0.279,0.173,0.27,0.27,1x1,1,0.124,0.124,16.497
4-11,BLAK,MILL,11,0,625,7,45,177,127,75,NA,Sept 25th,Oct 4th,9,98,80,7,2,1.48,2.0407,0.812,0.8888,0.793,0.9158,0.772,0.8551,0.338,0.366,0.358,0.216,0.220385675,0.99x0.99,0.9801,0.158,0.16120804,12.2395
4-12,BLAK,MILL,12,0,502,7,100,149,72,168,NA,Sept 25th,Oct 4th,9,124,105,9,2,0.786,1.3358,0.727,0.8005,0.775,1.0598,0.779,0.9535,0.378,0.287,0.379,0.222,0.217625723,1.01x1.01,1.0201,0.098,0.096069013,12.5015
4-13,BLAK,MILL,13,0,483,5,NA,NA,NA,NA,NA,Sept 25th,Oct 4th,9,115,71,8,2,0.797,1.2364,0.804,0.8792,0.789,0.8901,0.773,0.8559,0.363,0.851,0.588,0.181,0.177433585,1.01x1.01,1.0201,0.161,0.157827664,13.3825
4-14,BLAK,MILL,14,0,616,6,152,159,81,NA,NA,Sept 25th,Oct 4th,9,126,85,12,3,0.791,1.2403,0.814,1.0694,0.782,0.9386,0.767,0.8984,0.216,0.307,0.303,0.261,0.255857269,1.01x1.01,1.0201,0.18,0.176453289,22.5525
4-15,BLAK,MILL,15,0,459,6,34,135,134,NA,NA,Sept 25th,Oct 4th,9,133,80,9,3,0.799,1.0752,0.795,0.8657,0.78,0.8768,0.764,0.8359,0.43,0.247,0.232,0.247,0.247,1x1,1,0.103,0.103,19.605
